average_mean_per_iteration1,average_mean_per_iteration2,average_mean_per_iteration3,average_mean_per_iteration4,average_mean_per_iteration5,average_mean_per_iteration6,average_mean_per_iteration7,average_mean_per_iteration8,average_mean_per_iteration9,average_mean_per_iteration10,average_mean_per_iteration11
1364.45555245193,0,0,0,0,0,0,0,0,0,0
474.291427350192,0,0,0,0,0,0,0,0,0,0
324.494891685053,0,0,0,0,0,0,0,0,0,0
216.151608162718,0,0,0,0,0,0,0,0,0,0
202.680917744515,0,0,0,0,0,0,0,0,0,0
127.523395752802,0,0,0,0,0,0,0,0,0,0
97.8872768643606,0,0,0,0,0,0,0,0,0,0
70.4935606780291,0,0,0,0,0,0,0,0,0,0
67.1277964361786,0,0,0,0,0,0,0,0,0,0
66.7539421463653,0,0,0,0,0,0,0,0,0,0
56.2583964419038,0,0,0,0,0,0,0,0,0,0
